run,bioProject,bioSample,tissue,additional_info,condition_treatment,source,species,breed,gender,development_stage
ERR2352624,PRJEB25226,SAMEA103886405,epididymis,normal,River buffalo,Bhadawari,MALE,ADULT,Male_reproductive,
ERR2352625,PRJEB25226,SAMEA103886405,epididymis,normal,River buffalo,Bhadawari,MALE,ADULT,Male_reproductive,
ERR2352626,PRJEB25226,SAMEA103886405,epididymis,normal,River buffalo,Bhadawari,MALE,ADULT,Male_reproductive,
ERR2352627,PRJEB25226,SAMEA103886405,epididymis,normal,River buffalo,Bhadawari,MALE,ADULT,Male_reproductive,
ERR2352628,PRJEB25226,SAMEA103886405,epididymis,normal,River buffalo,Bhadawari,MALE,ADULT,Male_reproductive,
ERR2352629,PRJEB25226,SAMEA103886405,epididymis,normal,River buffalo,Bhadawari,MALE,ADULT,Male_reproductive,
ERR2352630,PRJEB25226,SAMEA103886405,epididymis,normal,River buffalo,Bhadawari,MALE,ADULT,Male_reproductive,
ERR2352631,PRJEB25226,SAMEA103886405,epididymis,normal,River buffalo,Bhadawari,MALE,ADULT,Male_reproductive,
ERR2352632,PRJEB25226,SAMEA103886405,epididymis,normal,River buffalo,Bhadawari,MALE,ADULT,Male_reproductive,
ERR2352633,PRJEB25226,SAMEA103886533,jejunum,normal,River buffalo,Bhadawari,MALE,ADULT,Alimentary canal,
ERR2352634,PRJEB25226,SAMEA103886533,jejunum,normal,River buffalo,Bhadawari,MALE,ADULT,Alimentary canal,
ERR2352635,PRJEB25226,SAMEA103886533,jejunum,normal,River buffalo,Bhadawari,MALE,ADULT,Alimentary canal,
ERR2352636,PRJEB25226,SAMEA103886533,jejunum,normal,River buffalo,Bhadawari,MALE,ADULT,Alimentary canal,
ERR2352637,PRJEB25226,SAMEA103886533,jejunum,normal,River buffalo,Bhadawari,MALE,ADULT,Alimentary canal,
ERR2352638,PRJEB25226,SAMEA103886533,jejunum,normal,River buffalo,Bhadawari,MALE,ADULT,Alimentary canal,
ERR2352639,PRJEB25226,SAMEA103886533,jejunum,normal,River buffalo,Bhadawari,MALE,ADULT,Alimentary canal,
ERR2352640,PRJEB25226,SAMEA103886533,jejunum,normal,River buffalo,Bhadawari,MALE,ADULT,Alimentary canal,
ERR2352641,PRJEB25226,SAMEA103886533,jejunum,normal,River buffalo,Bhadawari,MALE,ADULT,Alimentary canal,
ERR2352642,PRJEB25226,SAMEA103887020,renal medulla,normal,River buffalo,Bhadawari,MALE,ADULT,Kidney,
ERR2352643,PRJEB25226,SAMEA103887020,renal medulla,normal,River buffalo,Bhadawari,MALE,ADULT,Kidney,
ERR2352644,PRJEB25226,SAMEA103887020,renal medulla,normal,River buffalo,Bhadawari,MALE,ADULT,Kidney,
ERR2352645,PRJEB25226,SAMEA103887020,renal medulla,normal,River buffalo,Bhadawari,MALE,ADULT,Kidney,
ERR2352646,PRJEB25226,SAMEA103887020,renal medulla,normal,River buffalo,Bhadawari,MALE,ADULT,Kidney,
ERR2352647,PRJEB25226,SAMEA103887020,renal medulla,normal,River buffalo,Bhadawari,MALE,ADULT,Kidney,
ERR2352648,PRJEB25226,SAMEA103887020,renal medulla,normal,River buffalo,Bhadawari,MALE,ADULT,Kidney,
ERR2352649,PRJEB25226,SAMEA103887020,renal medulla,normal,River buffalo,Bhadawari,MALE,ADULT,Kidney,
ERR2352650,PRJEB25226,SAMEA103887020,renal medulla,normal,River buffalo,Bhadawari,MALE,ADULT,Kidney,
ERR2352651,PRJEB25226,SAMEA103887020,renal medulla,normal,River buffalo,Bhadawari,MALE,ADULT,Kidney,
ERR2352652,PRJEB25226,SAMEA103887020,renal medulla,normal,River buffalo,Bhadawari,MALE,ADULT,Kidney,
ERR2352653,PRJEB25226,SAMEA103887020,renal medulla,normal,River buffalo,Bhadawari,MALE,ADULT,Kidney,
ERR2352654,PRJEB25226,SAMEA103887020,renal medulla,normal,River buffalo,Bhadawari,MALE,ADULT,Kidney,
ERR2352655,PRJEB25226,SAMEA103887020,renal medulla,normal,River buffalo,Bhadawari,MALE,ADULT,Kidney,
ERR2352656,PRJEB25226,SAMEA103887020,renal medulla,normal,River buffalo,Bhadawari,MALE,ADULT,Kidney,
ERR2352657,PRJEB25226,SAMEA103887020,renal medulla,normal,River buffalo,Bhadawari,MALE,ADULT,Kidney,
ERR2352658,PRJEB25226,SAMEA103887020,renal medulla,normal,River buffalo,Bhadawari,MALE,ADULT,Kidney,
ERR2352659,PRJEB25226,SAMEA103887020,renal medulla,normal,River buffalo,Bhadawari,MALE,ADULT,Kidney,
ERR2352660,PRJEB25226,SAMEA103887020,renal medulla,normal,River buffalo,Bhadawari,MALE,ADULT,Kidney,
ERR2352661,PRJEB25226,SAMEA103887020,renal medulla,normal,River buffalo,Bhadawari,MALE,ADULT,Kidney,
ERR2352662,PRJEB25226,SAMEA103887020,renal medulla,normal,River buffalo,Bhadawari,MALE,ADULT,Kidney,
ERR2352663,PRJEB25226,SAMEA103887020,renal medulla,normal,River buffalo,Bhadawari,MALE,ADULT,Kidney,
ERR2352664,PRJEB25226,SAMEA103887020,renal medulla,normal,River buffalo,Bhadawari,MALE,ADULT,Kidney,
