geneId,geneName,locus,strand,chromosome
gene-A1BG,A1BG,NC_059174.1,-,18,
gene-A1CF,A1CF,NC_059179.1,+,23,
gene-A2ML1,A2ML1,NC_059160.1,+,4,
gene-A3GALT2,A3GALT2,NC_059158.1,+,2,
gene-A4GALT,A4GALT,NC_059160.1,+,4,
gene-A4GNT,A4GNT,NC_059157.1,+,1,
gene-AAAS,AAAS,NC_059160.1,-,4,
gene-AACS,AACS,NC_059173.1,+,17,
gene-AADACL3,AADACL3,NC_059161.1,+,5,
gene-AADACL4,AADACL4,NC_059161.1,+,5,
gene-AAGAB,AAGAB,NC_059167.1,+,11,
gene-AAK1,AAK1,NC_059168.1,-,12,
gene-AAMDC,AAMDC,NC_059161.1,-,5,
gene-AANAT,AANAT,NC_059159.1,+,3,
gene-AAR2,AAR2,NC_059170.1,-,14,
gene-AARD,AARD,NC_059171.1,+,15,
gene-AARS1,AARS1,NC_059174.1,+,18,
gene-AARS2,AARS2,NC_059158.1,+,2,
gene-AASDH,AASDH,NC_059163.1,+,7,
gene-AASDHPPT,AASDHPPT,NC_059172.1,+,16,
gene-AASS,AASS,NC_059164.1,-,8,
gene-AATF,AATF,NC_059159.1,-,3,
gene-AATK,AATK,NC_059159.1,-,3,
gene-ABAT,ABAT,NC_059180.1,-,24,
gene-ABCA1,ABCA1,NC_059159.1,-,3,
gene-ABCA12,ABCA12,NC_059158.1,-,2,
gene-ABCA2,ABCA2,NC_059168.1,-,12,
gene-ABCA3,ABCA3,NC_059180.1,+,24,
gene-ABCA4,ABCA4,NC_059162.1,+,6,
gene-ABCA5,ABCA5,NC_059159.1,-,3,
gene-ABCA6,ABCA6,NC_059159.1,-,3,
gene-ABCA7,ABCA7,NC_059165.1,-,9,
gene-ABCA9,ABCA9,NC_059159.1,-,3,
gene-ABCB10,ABCB10,NC_059160.1,-,4,
gene-ABCB11,ABCB11,NC_059158.1,+,2,
gene-ABCB5,ABCB5,NC_059164.1,+,8,
gene-ABCB7,ABCB7,NC_059181.1,-,X,
gene-ABCB8,ABCB8,NC_059164.1,+,8,
gene-ABCB9,ABCB9,NC_059173.1,-,17,
gene-ABCC1,ABCC1,NC_059180.1,-,24,
gene-ABCC10,ABCC10,NC_059158.1,-,2,
